state,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Male,Female
AL,0.654,0.265,0.044,0.014,0.004,0,0.019,0.114023591,0.150720839,0.328964613,0.176933159,0.229357798,0.481,0.519
AK,0.6,0.022,0.07,0.06,0.151,0.015,0.083,0.125506073,0.187584345,0.331983806,0.178137652,0.175438596,0.507,0.493
AZ,0.542,0.043,0.318,0.033,0.039,0.002,0.024,0.122368421,0.159210526,0.317105263,0.163157895,0.239473684,0.493,0.507
AR,0.721,0.152,0.078,0.016,0.006,0.004,0.024,0.115537849,0.152722444,0.32934927,0.173970784,0.229747676,0.484,0.516
CA,0.364,0.053,0.395,0.147,0.004,0.004,0.033,0.120576671,0.179554391,0.344692005,0.161205767,0.195281782,0.494,0.506
CO,0.678,0.038,0.218,0.032,0.005,0.001,0.028,0.11573472,0.183355007,0.344603381,0.163849155,0.192457737,0.501,0.499
CT,0.657,0.1,0.169,0.046,0.002,0,0.026,0.109833972,0.144316731,0.330779055,0.189016603,0.22605364,0.487,0.513
DE,0.614,0.218,0.097,0.039,0.003,0,0.028,0.103580563,0.150895141,0.309462916,0.184143223,0.251918159,0.482,0.518
DC,0.367,0.45,0.112,0.037,0.003,0,0.031,0.111801242,0.268322981,0.334161491,0.127950311,0.157763975,0.475,0.525
FL,0.53,0.15,0.266,0.027,0.002,0.001,0.024,0.1011378,0.144121365,0.314791403,0.173198483,0.266750948,0.485,0.515
GA,0.52,0.313,0.098,0.041,0.002,0.001,0.025,0.11914324,0.163319946,0.357429719,0.167336011,0.194109772,0.482,0.518
HI,0.204,0.012,0.103,0.394,0.001,0.102,0.184,0.093264249,0.150259067,0.330310881,0.170984456,0.255181347,0.488,0.512
ID,0.816,0.007,0.129,0.012,0.009,0,0.026,0.115961801,0.163710778,0.330150068,0.17053206,0.22100955,0.499,0.501
IL,0.609,0.136,0.176,0.056,0.001,0,0.022,0.114023591,0.165137615,0.338138925,0.173001311,0.209698558,0.487,0.513
IN,0.786,0.092,0.072,0.024,0.002,0,0.023,0.120689655,0.156498674,0.331564987,0.177718833,0.213527851,0.49,0.51
IA,0.853,0.039,0.063,0.023,0.003,0,0.019,0.117724868,0.150793651,0.321428571,0.17989418,0.23015873,0.495,0.505
KS,0.757,0.055,0.122,0.028,0.006,0,0.032,0.123822342,0.156123822,0.3243607,0.176312248,0.220726783,0.49,0.51
KY,0.845,0.08,0.037,0.016,0.001,0,0.02,0.116644823,0.149410223,0.332896461,0.179554391,0.222804718,0.49,0.51
LA,0.588,0.319,0.052,0.017,0.005,0,0.019,0.117333333,0.164,0.330666667,0.176,0.213333333,0.481,0.519
ME,0.932,0.014,0.017,0.011,0.007,0,0.019,0.092592593,0.135802469,0.311111111,0.197530864,0.262962963,0.484,0.516
MD,0.499,0.296,0.106,0.064,0.002,0,0.032,0.105606258,0.160365059,0.345501956,0.179921773,0.208604954,0.48,0.52
MA,0.705,0.07,0.124,0.067,0.002,0,0.032,0.109987358,0.16687737,0.328697851,0.178255373,0.216182048,0.486,0.514
MI,0.749,0.134,0.053,0.032,0.005,0,0.027,0.117723157,0.152652005,0.318240621,0.183699871,0.228978008,0.49,0.51
MN,0.791,0.064,0.056,0.049,0.009,0,0.03,0.108322325,0.165125495,0.332892999,0.180977543,0.214002642,0.496,0.504
MS,0.566,0.376,0.03,0.01,0.004,0,0.014,0.119302949,0.147453083,0.336461126,0.175603217,0.221179625,0.475,0.525
MO,0.794,0.112,0.043,0.021,0.004,0.001,0.026,0.111256545,0.158376963,0.321989529,0.181937173,0.22513089,0.487,0.513
MT,0.861,0.006,0.037,0.008,0.061,0,0.028,0.109819121,0.147286822,0.304909561,0.184754522,0.253229974,0.499,0.501
NE,0.785,0.048,0.113,0.024,0.008,0,0.021,0.118918919,0.164864865,0.324324324,0.174324324,0.218918919,0.497,0.503
NV,0.478,0.092,0.293,0.085,0.009,0.006,0.037,0.108496732,0.17124183,0.34248366,0.164705882,0.213071895,0.497,0.503
NH,0.898,0.013,0.039,0.026,0,0,0.021,0.097622028,0.143929912,0.32290363,0.204005006,0.232790989,0.494,0.506
NJ,0.545,0.124,0.21,0.096,0.001,0,0.024,0.106493506,0.151948052,0.346753247,0.180519481,0.214285714,0.487,0.513
NM,0.367,0.017,0.495,0.016,0.087,0,0.018,0.118421053,0.153947368,0.313157895,0.173684211,0.240789474,0.488,0.512
NY,0.552,0.14,0.193,0.086,0.002,0,0.027,0.109833972,0.171136654,0.328224777,0.173690932,0.215836526,0.484,0.516
NC,0.627,0.209,0.097,0.029,0.011,0,0.026,0.112418301,0.154248366,0.339869281,0.173856209,0.220915033,0.48,0.52
ND,0.841,0.024,0.04,0.014,0.052,0,0.026,0.135099338,0.181456954,0.307284768,0.169536424,0.206622517,0.505,0.495
OH,0.786,0.122,0.04,0.023,0.001,0,0.028,0.110966057,0.15535248,0.323759791,0.182767624,0.227154047,0.489,0.511
OK,0.65,0.069,0.111,0.021,0.077,0.001,0.071,0.122311828,0.165322581,0.325268817,0.170698925,0.215053763,0.49,0.51
OR,0.75,0.018,0.134,0.047,0.009,0.003,0.04,0.106870229,0.162849873,0.332061069,0.164122137,0.232824427,0.492,0.508
PA,0.76,0.104,0.078,0.035,0.001,0,0.023,0.101152369,0.157490397,0.317541613,0.185659411,0.23943662,0.487,0.513
RI,0.705,0.059,0.166,0.033,0.002,0,0.033,0.110970996,0.160151324,0.319041614,0.186633039,0.224464061,0.489,0.511
SC,0.637,0.262,0.057,0.017,0.003,0,0.022,0.106493506,0.150649351,0.323376623,0.179220779,0.238961039,0.477,0.523
SD,0.819,0.022,0.037,0.013,0.084,0,0.024,0.110363392,0.154777927,0.31628533,0.183041723,0.234185734,0.504,0.496
TN,0.736,0.164,0.057,0.018,0.003,0,0.022,0.112418301,0.162091503,0.332026144,0.175163399,0.218300654,0.484,0.516
TX,0.411,0.117,0.4,0.05,0.003,0.001,0.019,0.129120879,0.178571429,0.358516484,0.156593407,0.177197802,0.491,0.509
UT,0.778,0.01,0.144,0.023,0.01,0.008,0.027,0.157514451,0.190751445,0.349710983,0.137283237,0.166184971,0.5,0.5
VT,0.928,0.011,0.018,0.016,0.007,0,0.02,0.106832298,0.137888199,0.306832298,0.196273292,0.253416149,0.494,0.506
VA,0.613,0.189,0.096,0.067,0.002,0,0.033,0.109660574,0.156657963,0.345953003,0.176240209,0.212793734,0.484,0.516
WA,0.675,0.038,0.13,0.089,0.011,0.006,0.05,0.109090909,0.179220779,0.337662338,0.167532468,0.207792208,0.497,0.503
WV,0.925,0.032,0.014,0.008,0.002,0,0.018,0.102791878,0.133248731,0.318527919,0.185279188,0.260152284,0.491,0.509
